,Story,Images,Source
Down's syndrome association,"Haydon: Ever since his brother Luke started playing football, Haydon had loved to watch and play footie with him in the garden.

When Haydon was 11, we were put in touch with one of our local Clubs, Sporting 87 who were known for being really well set up and for integrating children with special needs into their programmes.

The guys at Sporting 87 could not do enough for us including asking the Suffolk Football association if Haydon could play 2 years down at under 9’s instead of under 11’s to give him a chance whilst learning the rules etc.

Having played myself for over 30 years I was a little worried as to how he would get on and how the other boys would take to him, but I needn’t have been.

He was accepted straight away as a member of the team.  The boys make sure he is where he needs to be during the game and always make sure he is included in the goal celebrations (which he absolutely loves even to the point of him now taking all of the free kicks and penalties they get and you should see them all celebrate together!!)

It does bring tears to our eyes when even opposition parents are cheering and clapping him when he shows his skill or scores a goal. I think it is a testament to organisations such Sporting 87 and DSActive, that people with Down’s syndrome are now included more in sport in their communities.

Playing football and interacting with the boys has done so much for Haydon’s confidence, speech and general communication skills.  He now plays for his own school and is a bit of a star there too I believe!

The photos are from a Sporting 87 tournament last year which was judged not on score, but on skills, passing and sportsmanship.  Haydon’s team won. Suffice it to say that every boy in the team wanted Haydon to receive the cup on their behalf. I cannot say enough about them or their coach Trevor.

Sporting 87 have turned Haydon’s dreams into reality.

The DSActive programme is the only bespoke football and tennis programme for people with Down’s syndrome in the UK.",,
Down's syndrome association,,,
Down's syndrome association,,,
Down's syndrome association,,,
Action against hunger,,,
D-Rev,,,
Givewell,,,
Holy Apostles Soup Kitchen,,,
The Lunchbox fund,,,
Wags and walks,,,
CreateNow,,,
Stupid cancer,,,
College track,,,
Downtown women's center,,,
Books for kids,,,
Hibiscus,,,
Friends of the Children of Orissa (FOCO),,,
Restless Development,,,
Amnesty International,,,
Memusi Foundation,,,
BHP Billiton Sustainable Communities,,,
Genome Research Limited,,,
BECTA (British educational and communications technology agency),,,
Becht family charitable trust,,,
International planned parenthood foundation,,,
Disasters Emergency Committee,,,
Marcela Trust,,,
The National Trust for places of historic interest or natural beauty,,,
Royal National Institute of Blind People (RNIB),,,
Stonyhurst,,,
The Royal Society of London for Improving Natural Knowledge (commonly known as the Royal Society),,,
Goldman Sachs Gives,,,
Royal Opera House Covent Garden,,,
Voluntary Service Overseas (VSO),,,
The Football Foundation,,,
WWF,,,
Elim Foursquare gospel alliance,,,
"The Museums, Libraries and Archives Council",,,
Blackburn Diocesan Board  Of Education,,,
The Alice Trust,,,
The Church of Jesus Christ of Latter Day Saints,,,
Cyngor Celfyddydau Cymru,,,
The Teresa Rosenbaum Charitable Trust,,,
Youth Sport Trust,,,
Alzheimer's Society,,,
"Royal Shakespeare Company, Stratford Upon Avon",,,
United Reformed Church Trust,,,
Southbank Centre,,,
Children's Investment Fund Foundation,,,
Royal National Theatre,,,
London Diocesan Fund,,,
Lloyds TSB foundation,,,
Muslim Aid,,,
Compton Verney Fund,,,
British Film Institute,,,
Jewish Care,,,
Compassion UK Christian Child Development,,,
Westminster Roman Catholic Diocesan Trust (and other ...),,,
Thailand Burma Border Consortium,,,
Medecins Sans Frontieres (aka Doctors without borders),,,
Methodist Church of Great Britain,,,
Church of England Children's society,,,
Liverpool Hope University,,,
Arthritis Research UK,,,
British Diabetic Association,,,
World Society for the Protection of Animals,,,
Samaritans Purse ,,,
Blue Cross,,,
Blue Cross,,,
Blue Cross,,,
Blue Cross,,,
Blue Cross,,,
Blue Cross,,,
Sheffield City Trust,,,
Benenden Hospital Trust,,,
International Bible Students Association,,,
Babraham Institute,,,
The Grand Charity (Freemason's Grand Charity),,,
The Said Foundation,,,
Roman Catholic Diocese of Southwark,,,
Vodafone Foundation,,,
English National Opera,,,
National Foundation for Youth Music,,,
Save China's Tigers,,,
Shelterbox Trust,,,
Opera North Limited,,,
Coalfields Regeneration Trust,,,
United Synagogue,,,
Woodland Trust,,,
United Bible Societies Association,,,
Prince's Trust,,,
Sigrid Rausing Trust,,,
Reece Foundation,,,
Ahmadiyya Muslim Jamaat International,,,
Chelmsford Diocesan Board of Finance,,,
Harper Adams University College,,,
Wigan Leisure and Culture Association,,,
The Hobson Charity,,,
Parkinson's UK (or Parkinson Disease Society),,,
Blind Veterans Uk (formerly known as St Dunstan's),,,
Blind Veterans Uk (formerly known as St Dunstan's),,,
Blind Veterans Uk (formerly known as St Dunstan's),,,
Blind Veterans Uk (formerly known as St Dunstan's),,,
Blind Veterans Uk (formerly known as St Dunstan's),,,
Duchesne Trust,,,
Professional Footballers Association Educational Fund,,,
CalAid,,,
Siblings Together,,,
Mousetrap Theatre,,,
Kidscape,,,
Kidscape,,,
Kidscape,,,
Kidscape,,,
Create Arts,,,
Chiva,,,
The Wave Project,,,
Scotia Aid Sierra Leone,,,
Against Malaria Foundation,,,
Against Malaria Foundation,,,
Basic Needs,,,
Scope,,,
Friends of the Earth,,,
Greenpeace,,,
Refugee action,,,
Refugee Council,,,
Refugee Council,,,
Refugee Council,,,
Refugee Council,,,
Refugee Council,,,
Refugee Council,,,
Refugee Council,,,
Refugee Council,,,
Child poverty action group,,,
End child poverty,,,
Animal Aid,,,
Combat Stress,,,
St Mungo's,,,
Winston's Wish,,,
Kids Company (in liquidation),,,
Action Medical Research,,,
Pardada Pardadi,,,
TLG,,,
Africa Educational Trust,,,
Cruse,,,
Cruse,,,
Cruse,,,
Cruse,,,
Cruse,,,
Cruse,,,
Cruse,,,
Cruse,,,
Cruse,,,
Send a Cow,,,
Bees for Development,,,
Heifer International,,,
Projects for all,,,
Whizz kidz,,,
Bank Workers Charity,,,
Action for Children,,,
Anthony Nolan Trust,,,
Anthony Nolan Trust,,,
Anthony Nolan Trust,,,
Anthony Nolan Trust,,,
Asthma UK,,,
Bible Society,,,
Bluebell wood children's hospice,,,
Blue smile,,,
Children's Society,,,
Children with cancer,,,
Citizen's Advice,,,
CLIC sargent,,,
Cystic Fybrosis Trust,,,
Gurkha Welfare Trust,,,
Kenya Children's Trust,,,
Keyring,,,
Marie Stopes International,,,
Mencap,,,
MHA (aka Methodist Homes),,,
Motability,,,
Motor Neurone Disease Association,,,
Nacro,,,
Narcolepsy UK,,,
Mosac,,,
Mosac,,,
Mosac,,,
Mosac,,,
Mosac,,,
Mosac,,,
Napac,,,
Survivors UK,,,
Avert,,,
Terrence Higgins Trust,,,
Medical Aid Films,,,
Shaishav,,,
Shaishav,,,
Shaishav,,,
CBM,,,
Africa mental health foundation,,,
Mental Health association of Tanzania,,,
Mental Health Society of Ghana,,,
Cape Mental Health Society,,,
Manas,,,
Sanjivini Society for Mental Health,,,
Gavi fund,,,
Renewable World,,,
Renewable World,,,
Renewable World,,,
Renewable World,,,
Renewable World,,,
Renewable World,,,
Renewable World,,,
Renewable World,,,
iDE,,,
MS-UK,,,
Multiple Sclerosis Society,,,
Multiple Sclerosis Society,,,
Multiple Sclerosis Society,,,
Multiple Sclerosis Society,,,
Multiple Sclerosis Society,,,
Multiple Sclerosis Society,,,
Multiple Sclerosis Society,,,
Multiple Sclerosis Society,,,
Multiple Sclerosis Society,,,
Multiple Sclerosis Society,,,
Multiple Sclerosis Society,,,
MS Trust,,,
Childreach,,,
Crohn's and Colitis Association,,,
The Running Charity,,,
CHICKS (Country Holidays for Inner City Kids),,,
Kenyan Children's project,,,
School Aid UK,,,
https://books2africa.org,,,
Pratham,"Narrated by Surendra Kumar, Uttar Pradesh, Science program Master Trainer.

Sumit is a mischievous boy living in a village in Uttar Pradesh, India. He heads the gang of similarly mischievous children. Even though he goes to school, he studies only when he wants to and usually spends his time playing games, loitering around, making mischief or picking up fights. 

I invited him to join the other children in the science exploratory. When they all arrived, I asked the children to sit so that I could talk with them. All the children followed my instruction except for Sumit who was examining his surroundings very carefully.

When I asked him to sit again he replied by saying that he will do so very soon and continued to stare at one of the models. The model was that of a magnetic train which had a pencil floating mid-air. I pretended not to take notice.

I asked Sumit to sit once again and told him that the model will still be there after we finish talking. On hearing this, Sumit finally sat down. However, while the other children were listening to what I had to say, Sumit still seemed to be thinking about the train. After speaking with the children, I decided to show them some films about scientific toys and experiments by Arvind Gupta. This was the first time that the children were seeing a film on the projector. The children watched 7 to 8 films attentively. The films were about making paper caps, paper houses, a small book with 14 pages, magical match sticks and dancing man. All the children enjoyed watching the films but Sumit seemed to enjoy them the most. 

When the children were tasked with making the same scientific toys, Sumit was the first one to finish making the paper cap and was soon helping other children with it. Eventually, Sumit saw a paper crocodile that was sitting right next to the model that had caught Sumit's fancy initially. Sumit picked the paper crocodile and looked at it closely. 

At the end of the day, Sumit had spent 3 hours with the rest of the children and had not picked up fights, loitered around or indulged in any mischief. When it was time to go home Sumit came to me and said that he can make the magnetic train if he gets the magnets. I gave him the magnets and with little guidance he made the model which he was so fascinated about. His joy knew no bounds 

The next day, the students brought some of the scientific toys that they had created at home. Each child had made one or two other models, Sumit, however, had made them all.

""Look! Magical matchstick"", he said as he entered the classroom, ""A crocodile!""

He even started reading Arvind Gupta's book on scientific toys and experiments. 

Perhaps Sumit truly enjoyed participating in the activities of the science exploratory. Perhaps this is what he wants to do. His desire to learn and achieve something different is hard to miss.

Sumit is now participating in the summer camp at the science exploratory. ",http://www.pratham.org/impact/case-studies,http://www.pratham.org/impact/case-studies
Pratham,,,
Pratham,,,
Pratham,,,
Pratham,,,
Bede,,,
Bede,,,
Bede,,,
Bede,,,
Bede,,,
Bede,,,
Population Services international,,,
Missing People,,,
Missing People,,,
Missing People,,,
Missing People,,,
Core Arts,,,
Doctors of the world (or Medecins du monde),,,
Peas,,,
Early start,,,
Blue Marine Foundation,,,
The Philanthropy Workshop (formally The institute for philanthropy),,,
St Mark's foundation hospital,,,
Spark Aid,,,
The Bridge academy,,,
Streets of Growth,,,
Leonard Cheshire,,,
Street doctors,,,
African Prisons Project,,,
African Prisons Project,,,
African Prisons Project,,,
African Prisons Project,,,
African Prisons Project,,,
Stonewall,,,
Centre for Criminal Appeals,,,
Electronic Frontier Foundation,,,
Free Software Foundation,,,
Last mile health,,,
We care solar,,,
Hope & homes,,,
Hope & homes,,,
Shine Trust,,,
Shine Trust,,,
Shine Trust,,,
Power of nutrition,,,
Educate girls,,,
Stir,,,
Mcare,,,
David Nott,,,
Hubbub,,,
Beatrice Charity,,,
Relate,,,
Relate,,,
Relate,,,
Unicef,,,
Compassion in World Farming (CIWF),,,
Unseen (UK),,,
Unseen (UK),,,
Unseen (UK),,,
Unseen (UK),,,
Unseen (UK),,,
Unseen (UK),,,
Unseen (UK),,,
Unseen (UK),,,
Unseen (UK),,,
Unseen (UK),,,
Unseen (UK),,,
Unseen (UK),,,
Unseen (UK),,,
Gilbert Deya Ministries,,,
Duke of Edinburgh's Award,,,
Open Secret,,,
I am somebody's child soldier,,,
Opportunity international,,,
Opportunity international,,,
Opportunity international,,,
Opportunity international,,,
Opportunity international,,,
Opportunity international,,,
Opportunity international,,,
Opportunity international,,,
Opportunity international,,,
Royal Institution,,,
Hibiscus Initiatives LTD,,,
Thames Reach,,,
New Notes Orchestra,,,
Human Relief Foundation,,,
A21,,,
Help Refugees,,,
Cool Earth,,,
Trees for Cities,,,
Tree Council,,,
Trees for life,,,
Plant a billion,,,
Tree Aid,,,
AOAV (Action on Armed Violence),,,
Path,,,
Cardboard Citizens,,,
The Connection at St martins,,,
Shelter from the storm,,,
St Giles Trust,,,
Didier Drogba foundation,,,
The Cup Trust,,,
Wikimedia UK,,,
Woodcraft Folk,,,
Wikimedia UK,,,
Founders Pledge (Founders Forum for Good),,,
Cash for kids,,,
Silverline,,,
Free Lifesaving society,,,
Together for better days,,,
Food fortification Initiative,,,
GAIN (Global Alliance for Improved Nutrition),,,
Centre for Effective Altruism,,,
Teenage Cancer Trust,,,
World Animal Protection,,,
Just enough UK,,,
Malaria Consortium,,,
END fund,,,
END fund,,,
Carers UK,,,
Cambodian Children's Fund,,,
Climate Bonds Initiative,,,
CHANGE FOR CLIMATE CHANGE LIMITED,,,
ENGINEERS WITHOUT BORDERS UK,,,
Sandbag,,,
CDP WORLDWIDE,,,
Wellcome Trust,,,
Bloodwise,,,
Project Mala,,,
