,,Basics,,,,,,,Year / project analysed,,,Information from CC Website,,,,Links,,,,People Helped,,,,,,,,,,,,,Money Flows - to find true(r) cost,,Money Flows - to find true(r) cost,,,,,,,,,,,,Money Flows - Incoming,,Reserves,,,App-Related Info,,,,,Description of charity,,Stories,Stories - source,Logo image,Photo Image,Photo Image,Photo Caption,Photo - source,Other ,,,,,Educated Guesses of Quality,,,
Plan international,Plan international UK,International aid & Poverty & Disaster response,Children,Direct Work & campaigning,Developing World,276035,Yes,Sanjay,"Water, sanitation and hygiene",1-Jul-2015,30-Jun-2016,Yes,,,,,,,,"9,279,000",People (singular: person) reached,"279,000 people were provided with water, 1.9 million people were supported in constructing household toilets, and 7.1 million people were reached through a handwashing campaign held by the charity.",,,,,,,,,,,"£14,538,440",,,,"£14,538,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plan international,Plan international UK,International aid & Poverty & Disaster response,Children,Direct Work & campaigning,Developing World,276035,Yes,Sanjay,Economic security,1-Jul-2015,30-Jun-2016,Yes,,,,,,,,,,,,,,,,,,,,,"£3,637,450",,,,"£3,637,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plan international,Plan international UK,International aid & Poverty & Disaster response,Children,Direct Work & campaigning,Developing World,276035,Yes,Sanjay,Sexual and reproductive health and rights,1-Jul-2015,30-Jun-2016,Yes,,,,,,,,60,Young people (singular: person) trained as peer-educators,,,,,,,,,,,,"£730,444",,,,"£730,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plan international,Plan international UK,International aid & Poverty & Disaster response,Children,Direct Work & campaigning,Developing World,276035,Yes,Sanjay,Protection,1-Jul-2015,30-Jun-2016,Yes,,,,,,,,,,,,,,,,,,,,,"£1,657,414",,,,"£1,657,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plan international,Plan international UK,International aid & Poverty & Disaster response,Children,Direct Work & campaigning,Developing World,276035,Yes,Sanjay,Participate as citizens,1-Jul-2015,30-Jun-2016,Yes,,,,,,,,,,,,,,,,,,,,,"£121,551",,,,"£121,551",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plan international,Plan international UK,International aid & Poverty & Disaster response,Children,Direct Work & campaigning,Developing World,276035,Yes,Sanjay,Campaigning and awareness,1-Jul-2015,30-Jun-2016,Yes,,,,,,,,,,,,,,,,,,,,,£0,,,,£0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Care,Care international UK,International aid & Poverty & Disaster response,,Direct Work,Developing World,292506,Yes,Chris & Sanjay,Overall,1-Jul-2014,30-Jun-2015,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/DocumentList.aspx?RegisteredCharityNumber=292506&SubsidiaryNumber=0&DocType=AccountList,http://www.care-international.org/files/files/CARE-International-Annual-Report-2015_FINAL.pdf,,Direct impact numbers tricky to find -- rough estimate in sidebar on pg 7,"65,000,000",people (singular: person) helped,Care helps people through fighting poverty or disaster relief,"213,000,000",,,,,,,,,,"£527,670,650",£0,,£0,"£527,670,650",£8.12,,,,,,,,"International accounts used as UK arm seems to fundraise for centralised body that implements programmes. Cites global accounts in Euros, so exchange rate applied","£460,015,340","£166,864,350","£427,007,700",81%,Cash and short term investments + Deposits and other assets,You helped XXXX people through development and humanitarian relief programmes. Well done!,Yes,"No, because fundraising costs are missing, although these are probably available somewhere if we look for another set of accoutns. Also hesitant to publish with so little info about how those 65 million people have been helped",Low,"This is a high-level estimate, averaging out the effect of lots of projects",CARE is a humanitarian organization providing disaster relief and fighting poverty around the world,,,,,,,,,,,,,,A,5,More research needed -- group vs country-based structure makes assessing overall impact somewhat more complicated,
Great Ormond Street Hospital,Great Ormond Street Hospital Childrens Charity,Health,Children,Direct Work,United Kingdom,1160024,Yes,Sanjay,Overall,1-Apr-2013,31-Mar-2014,Yes,• THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• CHILDREN / YOUNG PEOPLE ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE  • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=1160024&SubsidiaryNumber=0,http://issuu.com/goshcc/docs/final_gosh_annual_report_2013-14,,"220,000 figure stated on p9","220,000",children (singular: child) treated,This is an average cost encompassing both inpatient and outpatient visits,,,,,,,,,,,"£374,083,000",,,,"£374,083,000","£1,700.38",,,,,,,,,,"£29,765,000","£57,010,000",15%,,"You treated XXXX children in Great Ormand Street Hospital, and funded some research and training, well done!",Yes,Yes,,,"Great Ormond Street Hospital Children's Charity raises money for Great Ormond Street Hospital (GOSH), a London-based hospital providing care for children",,,,,,,,,,On Anthony D's list,,,,B,4,,
Great Ormond Street Hospital,Great Ormond Street Hospital Childrens Charity,Health,Children,Direct Work,United Kingdom,1160024,Yes,Sanjay,Overall,1-Apr-2014,31-Mar-2015,Yes,• THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• CHILDREN / YOUNG PEOPLE ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE  • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=1160024&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends24/0001160024_AC_20160331_E_C.pdf,,,,,,,,,,,,,,,,"£51,383,000",,,,,,,,,,,,,"There seems to have been a reorganisation of the entities. Not sure exactly what's going on here, but since the previous entity had spend of c £300m, and this entity is only c £50m, and they don't comment on a big decrease, could be that we're not seeing the full group here",,,,,,,,"No, because I'm worried that we might not have full sight of the group. Also lack of impact (or even outputs) data of any sort",,,"Great Ormond Street Hospital Children's Charity raises money for Great Ormond Street Hospital (GOSH), a London-based hospital providing care for children",,,,,,,,,,On Anthony D's list,,,,,,,
Great Ormond Street Hospital,Great Ormond Street Hospital Childrens Charity,Health,Children,Direct Work,United Kingdom,1160024,Yes,Sanjay,Welfare and clinical development,1-Apr-2014,31-Mar-2015,Yes,• THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• CHILDREN / YOUNG PEOPLE ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE  • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=1160024&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends24/0001160024_AC_20160331_E_C.pdf,,Hard to find any impact figures in the accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Great Ormond Street Hospital Children's Charity raises money for Great Ormond Street Hospital (GOSH), a London-based hospital providing care for children",,,,,,,,,,On Anthony D's list,,,,,,,
Great Ormond Street Hospital,Great Ormond Street Hospital Childrens Charity,Health,Children,Direct Work,United Kingdom,1160024,Yes,Sanjay,Research,1-Apr-2014,31-Mar-2015,Yes,• THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• CHILDREN / YOUNG PEOPLE ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE  • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=1160024&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends24/0001160024_AC_20160331_E_C.pdf,,Hard to find any impact figures in the accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Great Ormond Street Hospital Children's Charity raises money for Great Ormond Street Hospital (GOSH), a London-based hospital providing care for children",,,,,,,,,,On Anthony D's list,,,,,,,
Great Ormond Street Hospital,Great Ormond Street Hospital Childrens Charity,Health,Children,Direct Work,United Kingdom,1160024,Yes,Sanjay,Medical equipment and capital schemes,1-Apr-2014,31-Mar-2015,Yes,• THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• CHILDREN / YOUNG PEOPLE ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE  • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=1160024&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends24/0001160024_AC_20160331_E_C.pdf,,Hard to find any impact figures in the accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Great Ormond Street Hospital Children's Charity raises money for Great Ormond Street Hospital (GOSH), a London-based hospital providing care for children",,,,,,,,,,On Anthony D's list,,,,,,,
Great Ormond Street Hospital,Great Ormond Street Hospital Childrens Charity,Health,Children,Direct Work,United Kingdom,1160024,Yes,Sanjay,Redevelopment,1-Apr-2014,31-Mar-2015,Yes,• THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• CHILDREN / YOUNG PEOPLE ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE  • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=1160024&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends24/0001160024_AC_20160331_E_C.pdf,,Hard to find any impact figures in the accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Great Ormond Street Hospital Children's Charity raises money for Great Ormond Street Hospital (GOSH), a London-based hospital providing care for children",,,,,,,,,,On Anthony D's list,,,,,,,
Great Ormond Street Hospital,Great Ormond Street Hospital Childrens Charity,Health,Children,Direct Work,United Kingdom,1160024,Yes,Sanjay,Accommodation and other,1-Apr-2014,31-Mar-2015,Yes,• THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• CHILDREN / YOUNG PEOPLE ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE  • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=1160024&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends24/0001160024_AC_20160331_E_C.pdf,,Hard to find any impact figures in the accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Great Ormond Street Hospital Children's Charity raises money for Great Ormond Street Hospital (GOSH), a London-based hospital providing care for children",,,,,,,,,,On Anthony D's list,,,,,,,
Barnardos,,,Children,Direct Work,United Kingdom,216250,Yes,Sanjay,Overall,1-Apr-2013,31-Mar-2014,Yes,• EDUCATION / TRAINING • DISABILITY • THE PREVENTION OR RELIEF OF POVERTY ,• CHILDREN / YOUNG PEOPLE,• PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=216250&SubsidiaryNumber=0,http://www.barnardos.org.uk/barnardo_s_annual_report_and_accounts_2014.pdf,,,"200,000",,,,,,,,,,,,,"£278,400,000",,,,"£278,400,000","£1,392.00",,,,,,,,,,,,0%,,,Yes,"No, old data",,,"Barnardos helps vulnerable children in the UK through direct services, campaigning and research, covering themes such as child poverty, sexual exploitation, disability and domestic violence.",,,,,,,,,"Email sent on 31/may/15, and then I had a conversation with Daniel Barker in June.",,,,,A,5,,
Barnardos,,,Children,Direct Work,United Kingdom,216250,Yes,Sanjay,Overall,1-Apr-2014,31-Mar-2015,Yes,• EDUCATION / TRAINING • DISABILITY • THE PREVENTION OR RELIEF OF POVERTY ,• CHILDREN / YOUNG PEOPLE,• PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=216250&SubsidiaryNumber=0,http://www.barnardos.org.uk/barnardo_s_annual_report_and_accounts_2014.pdf,,,"240,000",children (singular: child) helped,,,,,,,,,,,,"£291,593,000",,,,"£291,593,000","£1,214.97",,,,,,,,,,,,0%,,"You helped XXXX children in the UK at risk of serious abuse or neglect, well done!",Yes,"No, old data",,,"Barnardos helps vulnerable children in the UK through direct services, campaigning and research, covering themes such as child poverty, sexual exploitation, disability and domestic violence.",,,,,,,,,"Email sent on 31/may/15, and then I had a conversation with Daniel Barker in June.",,,,,A,5,,
Barnardos,,,Children,Direct Work,United Kingdom,216250,Yes,Sanjay,Overall,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • DISABILITY • THE PREVENTION OR RELIEF OF POVERTY ,• CHILDREN / YOUNG PEOPLE,• PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=216250&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends50/0000216250_AC_20160331_E_C.pdf,,Number of beneficiaries mentioned fairly early on in the intro from the CEO,"248,000",children (singular: child) supported,"This is an average across several different types of work done by barnardos, including specialist services for particularly vulnerable children",,,,,,,,,,,"£294,193,000",£0,,"£50,864,000","£243,329,000",£981.17,,,,,,,,,"£298,660,000","£42,410,000",,,,,Yes,Yes,Medium,"No breakdown available on the beneficiaries helped - we typically have greater comfort when charities provide this sort of information. However the consistent trend in data compared to previous years and the fact that Barnardos is a generally credible organisation give comfort that the figures are unlikely to be factually inaccurate. One risk is that beneficiary might be defined in a ""weak"" way, and we wouldn't know.","Barnardos helps vulnerable children in the UK through direct services, campaigning and research, covering themes such as child poverty, sexual exploitation, disability and domestic violence.",,https://docs.google.com/spreadsheets/d/1D41t1AaAX2oQEjZqQzqT8FOSTQsT_qybMg2i4auEJkc/edit#gid=0,http://believeinme.barnardos.org.uk/how-we-help/support/,https://www.barnardos.org.uk/images/barn08-logo.gif,http://believeinme.barnardos.org.uk/media/1087/18292_475x615px_support.jpg,,,http://believeinme.barnardos.org.uk/how-we-help/support/,,,,,,,,,"£13,516,000"
Marie Curie (formerly Marie Curie Cancer care),,Health,,Direct Work,United Kingdom,207994,Yes,Sanjay,Overall,1-Apr-2013,31-Mar-2014,Yes,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,ELDERLY / OLD PEOPLE and THE GENERAL PUBLIC / MANKIND,PROVIDES SERVICES and SPONSORS OR UNDERTAKES RESEARCH,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=207994&SubsidiaryNumber=0,https://www.mariecurie.org.uk/globalassets/media/documents/who-we-are/vision-and-strategic-plan/annual-report-2013-2014-marie-curie.pdf,,,"40,844",,,,,,,,,,,,,"£150,000,000",,,,"£150,000,000","£3,672.51",,,,,,,,"Can be split into multiple projects: hospices nurses, helpers, campainign  http://apps.charitycommission.gov.uk/Accounts/Ends94/0000207994_AC_20150331_E_C.pdf has enough info for that",,,,0%,,,Yes,"No, old data",,,"Marie Curie provides care and support for people living with any terminal illness, and their families.",,,,,,,,,,,,,,C,3,"The work of caring for the terminally ill is difficult and valuable, and no doubt improves their lives, but is unlikely to make a dramatic change (e.g. they will still have the terminal condition)",
Marie Curie (formerly Marie Curie Cancer care),,Health,,Direct Work,United Kingdom,207994,Yes,"Lotti, Saulius",Overall,1-Apr-2014,31-Mar-2015,Yes,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,ELDERLY / OLD PEOPLE and THE GENERAL PUBLIC / MANKIND,PROVIDES SERVICES and SPONSORS OR UNDERTAKES RESEARCH,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=207994&SubsidiaryNumber=0,,,,"40,712",,,,,,,,,,,,,"£165,023,000","£43,780,000",,"£15,460,000","£105,783,000","£2,598.32",,,,,,,,"The income from charitable activities is largely from the NHS or department of health. This could be viewed as being like grant funding, which would not be treated as income from charitable activities here; on balance it's probably the case that the NHS is so heavily required to fund cancer treatments that if it weren't outsourced to a charity they would have to do it themselves. Hence treated as income from charitable activities","£155,880,000","£92,140,000","£40,700,000",25%,lower than the suggested figure of £43m as stated on pg16 http://apps.charitycommission.gov.uk/Accounts/Ends94/0000207994_AC_20150331_E_C.pdf Overall no cause for concern though,,No,"No, old data",Medium,Everything from cc,"Marie Curie provides care and support for people living with any terminal illness, and their families.",,,,,,,,,,,,,,,,,"£58,940,000"
Marie Curie (formerly Marie Curie Cancer care),,Health,,Direct Work,United Kingdom,207994,Yes,Sanjay,Overall,1-Apr-2015,31-Mar-2016,Yes,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,ELDERLY / OLD PEOPLE and THE GENERAL PUBLIC / MANKIND,PROVIDES SERVICES and SPONSORS OR UNDERTAKES RESEARCH,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=207994&SubsidiaryNumber=0,https://www.mariecurie.org.uk/globalassets/media/documents/who-we-are/vision-and-strategic-plan/annual-report-2015-16.pdf,,Impact figures given on p4-5,"51,383",Resource(s) provided,,,,,,,,,,,,"£165,335,000","£41,904,000",,"£16,084,000","£107,347,000","£2,089.15",,,,,,,,"The income from charitable activities relates to income from the NHS or department of health. This could be viewed as being like grant funding, which would not be treated as income from charitable activities here; on balance it's probably the case that the NHS is so heavily required to fund cancer treatments that if it weren't outsourced to a charity they would have to do it themselves. Hence treated as income from charitable activities. There are other income items in the accounts which are labelled as income from charitable activities, which largely seem to be grants, so I have treated these as grants here (i.e. not treated as income from charitable activities in this database)","£156,222,000","£94,425,000","£34,700,000",21%,below the target of £43m (see p42). No reason for concern,,No,,,,"Marie Curie provides care and support for people living with any terminal illness, and their families.",,,,,,,,,,,,,,,,,"£36,377,000"
Marie Curie (formerly Marie Curie Cancer care),,Health,,Direct Work,United Kingdom,207994,Yes,Sanjay,Nurses,1-Apr-2015,31-Mar-2016,Yes,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,ELDERLY / OLD PEOPLE and THE GENERAL PUBLIC / MANKIND,PROVIDES SERVICES and SPONSORS OR UNDERTAKES RESEARCH,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=207994&SubsidiaryNumber=0,https://www.mariecurie.org.uk/globalassets/media/documents/who-we-are/vision-and-strategic-plan/annual-report-2015-16.pdf,,Impact figures given on p4-5,"31,755",people (singular: person) nursed,Marie Curie provides nursing to terminally ill people. Around a third of the cost is covered by the NHS; this cost refers to the remaining two thirds of the amount required to fund this work.,"2,176",nurse(s) working with terminally ill patients,"249,569",visits to a terminally ill patient from a nurse,"1,200,000",,hours of care from nurses,,,,"£71,780,158","£23,147,000",,"£6,982,865","£41,650,293","£1,311.61","£19,140.76",£166.89,,,,,,"31,755 people cared for / 2,176 nursing staff / 1.2 million hours of care provided in total","£156,222,000","£94,425,000","£34,700,000",21%,below the target of £43m (see p42). No reason for concern,You enabled XXX1 sufferers of terminal illness to be cared for by Marie Curie nurses,Yes (chosen somewhat at random),Yes,Medium,,"Marie Curie provides care and support for people living with any terminal illness, and their families.",,https://docs.google.com/spreadsheets/d/1D41t1AaAX2oQEjZqQzqT8FOSTQsT_qybMg2i4auEJkc/edit#gid=0,p11 of https://www.mariecurie.org.uk/globalassets/media/documents/who-we-are/vision-and-strategic-plan/impact-report-201516.pdf,https://github.com/winterstein/SoGive/blob/master/webroot/img/external/marie-curie-logo.jpg?raw=true,https://github.com/winterstein/SoGive/blob/master/webroot/img/external/Marie%20Curie%20-%20Aisha.PNG?raw=true,,,p11 of https://www.mariecurie.org.uk/globalassets/media/documents/who-we-are/vision-and-strategic-plan/impact-report-201516.pdf,,,,,,,,,"£15,793,067"
Marie Curie (formerly Marie Curie Cancer care),,Health,,Direct Work,United Kingdom,207994,Yes,Sanjay,Hospices,1-Apr-2015,31-Mar-2016,Yes,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,ELDERLY / OLD PEOPLE and THE GENERAL PUBLIC / MANKIND,PROVIDES SERVICES and SPONSORS OR UNDERTAKES RESEARCH,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=207994&SubsidiaryNumber=0,https://www.mariecurie.org.uk/globalassets/media/documents/who-we-are/vision-and-strategic-plan/annual-report-2015-16.pdf,,Impact figures given on p4-5,"8,638",people (singular: person) cared for in a hospice,Marie Curie provides hospice care for terminally ill people. Around a quarter of the cost is covered by the NHS; this cost refers to the remaining three quarters of the amount required to fund this work.,,,,,,,,,,,"£72,017,935","£18,757,000",,"£7,005,997","£46,254,939","£5,354.82",,,,,,,,"8,638 people cared for","£156,222,000","£94,425,000","£34,700,000",21%,below the target of £43m (see p42). No reason for concern,,No,,,,"Marie Curie provides care and support for people living with any terminal illness, and their families.",,,,,,,,,,,,,,,,,"£15,845,383"
Marie Curie (formerly Marie Curie Cancer care),,Health,,Direct Work,United Kingdom,207994,Yes,Sanjay,Helpers,1-Apr-2015,31-Mar-2016,Yes,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,ELDERLY / OLD PEOPLE and THE GENERAL PUBLIC / MANKIND,PROVIDES SERVICES and SPONSORS OR UNDERTAKES RESEARCH,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=207994&SubsidiaryNumber=0,https://www.mariecurie.org.uk/globalassets/media/documents/who-we-are/vision-and-strategic-plan/annual-report-2015-16.pdf,,Impact figures given on p4-5,979,household(s) supported,,,,,,,,,,,,"£1,521,474",,,"£148,011","£1,373,463","£1,402.92",,,,,,,,979 households supported,"£156,222,000","£94,425,000","£34,700,000",21%,below the target of £43m (see p42). No reason for concern,,No,,,,"Marie Curie provides care and support for people living with any terminal illness, and their families.",,,,,,,,,,,,,,,,,"£334,755"
Marie Curie (formerly Marie Curie Cancer care),,Health,,Direct Work,United Kingdom,207994,Yes,Sanjay,Info and Support,1-Apr-2015,31-Mar-2016,Yes,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,ELDERLY / OLD PEOPLE and THE GENERAL PUBLIC / MANKIND,PROVIDES SERVICES and SPONSORS OR UNDERTAKES RESEARCH,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=207994&SubsidiaryNumber=0,https://www.mariecurie.org.uk/globalassets/media/documents/who-we-are/vision-and-strategic-plan/annual-report-2015-16.pdf,,Impact figures given on p4-5,"9,936",call(s) to support line,,,,,,,,,,,,"£3,222,033",,,"£313,444","£2,908,590",£292.73,,,,,,,,9936 calls to support line,"£156,222,000","£94,425,000","£34,700,000",21%,below the target of £43m (see p42). No reason for concern,,No,,,,"Marie Curie provides care and support for people living with any terminal illness, and their families.",,,,,,,,,,,,,,,,,"£708,912"
Marie Curie (formerly Marie Curie Cancer care),,Health,,Direct Work,United Kingdom,207994,Yes,Sanjay,Research,1-Apr-2015,31-Mar-2016,Yes,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,ELDERLY / OLD PEOPLE and THE GENERAL PUBLIC / MANKIND,PROVIDES SERVICES and SPONSORS OR UNDERTAKES RESEARCH,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=207994&SubsidiaryNumber=0,https://www.mariecurie.org.uk/globalassets/media/documents/who-we-are/vision-and-strategic-plan/annual-report-2015-16.pdf,,Impact figures given on p4-5,75,Research paper(s) published ,,,,,,,,,,,,"£7,059,579",,,"£686,765","£6,372,814","£84,970.85",,,,,,,,75 research papers published in peer-reviewed journals,"£156,222,000","£94,425,000","£34,700,000",21%,below the target of £43m (see p42). No reason for concern,,No,,,,"Marie Curie provides care and support for people living with any terminal illness, and their families.",,,,,,,,,,,,,,,,,"£1,553,248"
Marie Curie (formerly Marie Curie Cancer care),,Health,,Direct Work,United Kingdom,207994,Yes,Sanjay,"Policy, info and awareness",1-Apr-2015,31-Mar-2016,Yes,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,ELDERLY / OLD PEOPLE and THE GENERAL PUBLIC / MANKIND,PROVIDES SERVICES and SPONSORS OR UNDERTAKES RESEARCH,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=207994&SubsidiaryNumber=0,https://www.mariecurie.org.uk/globalassets/media/documents/who-we-are/vision-and-strategic-plan/annual-report-2015-16.pdf,,Impact figures not so obviously applicable here,,,,,,,,,,,,,,"£9,733,821",,,"£946,919","£8,786,902",#DIV/0!,,,,,,,,,"£156,222,000","£94,425,000","£34,700,000",21%,below the target of £43m (see p42). No reason for concern,,No,,,,"Marie Curie provides care and support for people living with any terminal illness, and their families.",,,,,,,,,,,,,,,,,"£2,141,635"
RSPB,Royal Society for the Protection of Birds,,Animals,Direct Work & Research & Campaigning & Raising Awareness,United Kingdom,207076,Yes,Sanjay,Overall,,,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends76/0000207076_AC_20150331_E_C.pdf,,,,,,,,,,,,,,,,"£128,194,000",,,,"£128,194,000",#DIV/0!,,,,,,,,"The accounts provided information about the achievements in each of the four main areas, but very little indication of the scale of the achievements, or the number of birds helped. In fairness, this seems to be largely because the goals are things like achieving diversity in nature, where the concept of a single beneficiary is probalby not useful",,,,,,,Yes,,,,,,,,,,,,,,,,,,#DIV/0!,,,
Comic Relief,Charity Projects,International aid & Poverty,,,,326568,Yes,Sanjay,Overall,,,Yes,• GENERAL CHARITABLE PURPOSES • THE PREVENTION OR RELIEF OF POVERTY • OVERSEAS AID / FAMINE RELIEF ,• OTHER CHARITIES OR VOLUNTARY BODIES • OTHER DEFINED GROUPS,• MAKES GRANTS TO ORGANISATIONS • OTHER CHARITABLE ACTIVITIES ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=326568&SubsidiaryNumber=0,http://www.comicrelief.com/sites/comicrelief.com/files/files/downloadables/307_TrusteesReportFinancialStatement_V8.pdf,,,???,,,,,,,,,,,,,"£126,433,000",,,,"£126,433,000",#VALUE!,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,#VALUE!,,,
Comic Relief,Charity Projects,International aid & Poverty,,,,326568,Yes,Sanjay,Overall,1-Aug-2014,31-Jul-2015,Yes,• GENERAL CHARITABLE PURPOSES • THE PREVENTION OR RELIEF OF POVERTY • OVERSEAS AID / FAMINE RELIEF ,• OTHER CHARITIES OR VOLUNTARY BODIES • OTHER DEFINED GROUPS,• MAKES GRANTS TO ORGANISATIONS • OTHER CHARITABLE ACTIVITIES ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=326568&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends68/0000326568_AC_20150731_E_C.pdf,,,???,,,,,,,,,,,,,,,,,£0,#VALUE!,,,,,,,,,,,"£16,800,000",,,,Yes,,,,,,,,,,,,,,,,,,#VALUE!,,,
